1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-0.127394548,0.387154884,0.634094674,-0.256161562,-0.146929425,0.104535162,0.291545572,0.043233424,11.53132198,-14.35196049,8.170704883,-3.12571072,1.267995238,-0.154610791,-2.355104603,1.799611473,0.493759502,-0.6057848,-0.087124066,1.764299792,3.412080569,2.58745781,58.03261406
0.052673049,-0.247420482,-1.200698391,1.413988372,0.075814528,-0.115098571,-0.790393619,0.516661917,-0.358988131,-27.52393162,2.591674927,-15.26965989,-1.802867551,-0.810438426,3.847927841,0.52117847,-0.288481541,-0.003774011,0.495655375,-0.186352517,11.86108897,2.269545157,164.3659603
0.819488797,-0.187536251,-1.29522541,-0.965377764,0.35706279,-0.398847807,-0.959833453,-0.008085882,36.2027279,-17.63041991,12.388081,-21.93590504,-0.907899922,0.014958585,1.24762385,0.882448424,-0.328279018,0.385597596,0.77056955,-0.196652111,3.0146431,0.584696951,76.09458558
0.526061383,-0.282834872,0.405986527,0.773357212,0.863168155,-0.656086243,0.934498105,1.283447961,1.382581835,-5.541609642,2.571878344,-8.006035791,5.087896608,-7.113062577,-3.338447999,3.464715766,4.928101495,3.373903316,-2.391678554,-2.259338084,19.0696239,13.26358127,471.7266587
-0.283800085,1.102758331,-0.910385387,0.752725406,-0.08955603,0.537469851,-0.379385041,0.414199662,8.797924928,38.43322057,5.065290084,17.16124335,0.936015282,-0.146872412,-1.992291527,0.034441274,-0.68361745,0.614360509,1.534526466,-1.155239828,4.508558521,2.974845076,99.11007293
0.246040073,-0.395961818,0.026113423,0.462521795,-0.32714947,-0.224452855,0.3569824,0.097252535,-15.16669291,8.981497638,5.12904913,12.07403737,0.330427996,-0.246746063,-0.424104108,-0.29452871,0.42165723,-0.133240662,-0.178853949,-0.487845589,2.003434223,1.652135909,14.32448443
0.251927451,0.23157688,0.091634313,0.07513313,0.406982729,0.686176254,0.131256058,0.361822975,-2.212749302,-3.769709679,0.668672874,-7.577470813,0.142770546,-0.448025313,0.032656017,0.141037271,-0.117790369,0.967513954,-0.071127277,-0.411958389,1.360849329,2.208227689,19.84447488
-0.013859119,0.192331478,-0.002203563,0.183857401,-0.207807683,-0.471078579,-0.242522142,-0.747483197,-0.626143494,0.98376896,2.744055226,-2.870146614,-0.237334502,-0.696416417,-0.000469894,-0.172148691,0.201028853,0.438138104,-0.010324733,0.180242271,0.490006996,0.640325489,15.81408026
0.268046664,0.468874866,-1.199756036,0.525706857,0.189349905,-0.050906831,0.163643102,0.421096702,24.7071404,-0.851895301,0.146658526,-7.67888518,0.368328521,0.277674669,0.759177548,-1.101043234,-0.137042973,0.145934105,0.484643295,0.263060655,1.512618132,1.656317556,40.82793104
0.177408792,0.173887516,0.457499983,-0.051930994,0.096500633,-0.427875226,-0.497666916,-0.667451387,4.28107971,-0.050908908,-4.19348414,-10.23315494,-0.123796776,-6.513555549,-3.146741077,-1.754639377,-2.563777778,2.281856277,0.336008795,1.91457212,18.33195351,10.4267596,161.3041194
